setting,metric,method_a,method_b,n,mean_a,mean_b,mean_diff,sd_diff,ci95_low,ci95_high,cohens_dz,p_sign_exact,per_seed_diffs
cifar100_resnet18_exp,best_test_acc_pct,tgies,ies_shipped,3,76.01333333333334,76.87333333333333,-0.8600000000000042,0.2787471972953295,-1.552446424872083,-0.16755357512792535,-3.085232814336942,0.25,-0.6700;-0.7300;-1.1800
cifar100_resnet18_exp,best_test_acc_pct,tgies,ies_alg1,3,76.01333333333334,76.78,-0.7666666666666705,0.3523256069793054,-1.6418919938122034,0.10855866047886253,-2.1760174437497026,0.25,-0.3600;-0.9600;-0.9800
cifar100_resnet18_exp,backprop_saved_pct,tgies,baseline,3,57.76362666666666,0.031999999999998696,57.73162666666667,0.03791876228641577,57.637431239284545,57.825822094048796,1522.5082040019217,0.25,57.7741;57.7011;57.7197
cifar100_resnet18_exp,backprop_saved_pct,tgies,ies_shipped,3,57.76362666666666,11.974186666666663,45.78943999999999,0.2569167585036112,45.15122339139652,46.42765660860346,178.2267543257844,0.25,46.0672;45.7408;45.5603
cifar100_resnet18_exp,backprop_saved_pct,tgies,ies_alg1,3,57.76362666666666,18.494506666666666,39.269119999999994,0.44489483881025416,38.16393995310679,40.3743000468932,88.26607228129278,0.25,39.6218;39.4163;38.7693
cifar100_resnet18_exp,flop_saved_pct,tgies,baseline,3,38.48861559482584,0.02132199396241985,38.46729360086342,0.02526573814167149,38.404530027928125,38.53005717379872,1522.5082040020923,0.25,38.4956;38.4470;38.4593
cifar100_resnet18_exp,flop_saved_pct,tgies,ies_shipped,3,38.48861559482584,7.978547994112943,30.510067600712897,0.17118679917686364,30.084816017107826,30.93531918431797,178.22675432578808,0.25,30.6951;30.4777;30.3574
cifar100_resnet18_exp,flop_saved_pct,tgies,ies_alg1,3,38.48861559482584,12.323117483896622,26.165498110929217,0.29643890834456665,25.429103039452684,26.90189318240575,88.26607228129336,0.25,26.4005;26.2636;25.8324
densenet121_exp,best_test_acc_pct,tgies,baseline,3,95.27999999999999,95.36333333333334,-0.08333333333333807,0.2236813209307679,-0.6389885380924839,0.4723218714258078,-0.372553832329749,1.0,-0.1300;-0.2800;0.1600
densenet121_exp,best_test_acc_pct,tgies,ies_shipped,3,95.27999999999999,95.36333333333334,-0.08333333333333807,0.19425069712444487,-0.5658788156121104,0.3992121489454342,-0.42899888940914,1.0,-0.1300;-0.2500;0.1300
densenet121_exp,best_test_acc_pct,tgies,ies_alg1,3,95.27999999999999,95.24333333333334,0.03666666666666174,0.09814954576223327,-0.2071503213616361,0.2804836546949596,0.37357958594619006,1.0,-0.0200;-0.0200;0.1500
densenet121_exp,backprop_saved_pct,tgies,baseline,3,54.525866666666666,0.031999999999998696,54.49386666666667,0.6603833521018933,52.853383477436566,56.13434985589677,82.5185348679998,0.25,54.6931;55.0317;53.7568
densenet121_exp,backprop_saved_pct,tgies,ies_shipped,3,54.525866666666666,48.60373333333333,5.922133333333332,0.6300416714260579,4.357023057310791,7.487243609355874,9.399589903202708,0.25,6.5357;5.2768;5.9539
densenet121_exp,backprop_saved_pct,tgies,ies_alg1,3,54.525866666666666,51.60405333333333,2.9218133333333305,0.24361844703004495,2.316631561765186,3.526995104901475,11.993399387251612,0.25,2.7661;2.7968;3.2026
densenet121_exp,flop_saved_pct,tgies,baseline,3,36.33850220467932,0.021326246452135766,36.31717595822719,0.4401093162441877,35.22388380841124,37.41046810804314,82.51853486799897,0.25,36.4500;36.6756;35.8260
densenet121_exp,flop_saved_pct,tgies,ies_shipped,3,36.33850220467932,32.391724861270355,3.946777343408968,0.4198882487483957,2.903717109933048,4.989837576884888,9.3995899032029,0.25,4.3557;3.5167;3.9680
densenet121_exp,flop_saved_pct,tgies,ies_alg1,3,36.33850220467932,34.39127372862279,1.9472284760565302,0.1623583450515563,1.5439079882814186,2.350548963831642,11.993399387251667,0.25,1.8434;1.8639;2.1343
vit_cifar10,best_test_acc_pct,tgies,baseline,3,83.71333333333332,84.07333333333334,-0.35999999999999943,0.428835632847832,-1.4252867677396803,0.7052867677396815,-0.8394824786580686,1.0,0.0100;-0.8300;-0.2600
vit_cifar10,best_test_acc_pct,tgies,ies_shipped,3,83.71333333333332,83.92333333333333,-0.2099999999999985,0.2951270912674814,-0.9431363372043021,0.5231363372043051,-0.7115578549502595,1.0,0.1300;-0.3600;-0.4000
vit_cifar10,best_test_acc_pct,tgies,ies_alg1,3,83.71333333333332,83.86333333333333,-0.15000000000000094,0.24758836806280193,-0.7650436021186585,0.4650436021186567,-0.6058442937915111,1.0,-0.0600;-0.4300;0.0400
vit_cifar10,backprop_saved_pct,tgies,baseline,3,25.51765333333333,0.031999999999998696,25.485653333333335,0.258830221831482,24.842683418316867,26.128623248349804,98.46475095913033,0.25,25.7715;25.2672;25.4182
vit_cifar10,backprop_saved_pct,tgies,ies_shipped,3,25.51765333333333,13.134933333333331,12.38272,0.05431711332535718,12.24778881038999,12.517651189610012,227.97087772002976,0.25,12.4320;12.3245;12.3917
vit_cifar10,backprop_saved_pct,tgies,ies_alg1,3,25.51765333333333,16.683946666666667,8.833706666666666,0.08740238288132374,8.616587111246163,9.050826222087169,101.0694030923757,0.25,8.7533;8.8211;8.9267
vit_cifar10,flop_saved_pct,tgies,baseline,3,17.077581353864222,0.02141586438945131,17.05616548947477,0.17322102908231854,16.625860598646998,17.48647038030254,98.46475095913034,0.25,17.2475;16.9100;17.0110
vit_cifar10,flop_saved_pct,tgies,ies_shipped,3,17.077581353864222,8.790498469722772,8.287082884141448,0.036351497906318975,8.196780757310352,8.377385010972544,227.97087772003215,0.25,8.3201;8.2481;8.2931
